id,title,brand,reason
MPA5002L0070001,">B< Maxipro ACR Long Elbow 7/8""x 90D",Conex Bänninger,Brand: Conex Bänninger
EZPRO-18-HP-23016D-O,EasyPro 5th Generation 18k BTU 230V System,MRCOOL,Brand: MRCOOL
12SW90,"12"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
SWP35,3” X 5' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
D SB SEAL TAPE,BLUE MONSTER THREAD SEAL TAPE,Blue Monster Products Mill-Rose,Brand: Blue Monster Products Mill-Rose
SLDRTB,15% Sil-Fos 1 Pound Tube,,Brand: BLANK
CONDP01,Sauermann Condensate Pump 23' Rise 120V,Sauerman,Brand: Sauerman
SB81410,8x14x10 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
SWP185,18” X 3' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
AA6302K,Aprilaire Zone Board 2 Heat & 1 Cool 2 stage 2 Zone Heat Pump Syste...,Aprilaire,Brand: Aprilaire
5AFUSE,5 AMP Control Fuse (5 Per Pack),,Brand: BLANK
RSWG1420,14 x 20 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,Brand: Airscape
RB202NC,"Return Air Boot 20"" x 20"" flat with no collar",Gray Metal Products,Brand: Gray Metal Products
SWP165,16” X 3' Snaplock Singlewall Pipe,Gray Metal Products,Brand: Gray Metal Products
GASNIP128,1/2” x 8” fitting,,Brand: BLANK
34PVCU,"3/4"" PVC Union",American Air Components,Brand: American Air Components
SB6128,"6"" x 12"" x 8"" Straight Boot",Gray Metal Products,Brand: Gray Metal Products
SPY600887,Spyder 13pc Bi-Metal (BIM) Hole Saw Set,Spyder,Brand: Spyder
PAN148,"14x8 Drain pan with no hole (Condensation Pump Application) 14"" x 8""",,Brand: BLANK
521KIT,Goodman Single-Stage Multi-Speed Gas Furnace 521KIT,UEI,Brand: UEI
34TRACRL,3/4” Trac Pipe 100' Roll,,Brand: BLANK
C165+KIT,UEi C165+KIT Combustion Analyzer Kit with Printer,UEI,Brand: UEI
1000002128,ROMAX Compact TT Basic Set 1 2x2Ah,Rothenberger,Brand: Rothenberger
CAP353MF,35/3 MF / 440 VA 440V 35+3 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
REME-BULB,Reme Halo Replacement Bulb Cell,,Brand: BLANK
GAS1TEE,1” Tee,,Brand: BLANK
05-30-300UB,"5” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
34HOLE,"3/4"" Hole Straps",,Brand: BLANK
13UNI1075,1/6-1/3 HP Uni. Multi HP CFM 1075 RPM,,Brand: BLANK
APR-4028-DTA,Aprilaire 4028 Drain Trap Assembly,Airscape,Brand: Airscape
H-BD01,HydroBalance Bluedaceous Condenser Coil Cleaner 1 Gallon Concentrate Non-Acid – Blue Coil Cleaner Bottle,HydroBalance,Brand: HydroBalance
06-30-300UB,"6” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
FLATB-PAINT,Flat Black Rust-oleum Spray Paint,,Brand: BLANK
906128,"6"" x 12"" x 8"" 90 Degree Boot",Gray Metal Products,Brand: Gray Metal Products
6SADDLE,"6"" Saddle Collar",Southwark,Brand: Southwark
NYLWB01,Nylon Webbing,American Air Components,Brand: American Air Components
RED108,10-8 Singlewall Reducer,Gray Metal Products,Brand: Gray Metal Products
CAP453MF,45/3 MF / 440 VA 440V 45+3 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
MPA52700030001,">B< Maxipro 3/8"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
C165+NOIL,UEi C165+NOIL Combustion Analyzer with NOx Sensor for Oil-Fired Appliances,UEI,Brand: UEI
GAS1UN,1” Unions,,Brand: BLANK
STR9034,"3/4"" Copper Street 90",American Air Components,Brand: American Air Components
70025,CAPILLARY TUBE CUTTER,Mastercool,Brand: Mastercool
904106,4x10x6 90 Degree Boot,Gray Metal Products,Brand: Gray Metal Products
ROSSI6,"Rossi 6"" Complete Manual Damper",Rossi,Brand: Rossi
LS3450,3/4 X 3/8 50 Ft,Ptubes Linesets,Brand: Ptubes Linesets
PLENBSB,B Width Air Handler Return Support Plenum Box NO FILTER RACK (18 X ...,,Brand: BLANK
JN165,"3/8""-16 Hex nut 100 Count",,Brand: BLANK
PLENAHBFR,B Width Air Handler Return Support Plenum Box With 18x20x1 Filter R...,,Brand: BLANK
12WIRE1,12-2 High Voltage Wire by the foot,,Brand: BLANK
PF1414,14x14x1” Pleated Filter,GlassFloss,Brand: GlassFloss
ARMA78,"7/8""x 6' Amarflex 1/2"" wall",,Brand: BLANK
CSPLEN,C Width Gas Furnace Supply Plenum (19.75 X 19.63 X 36),,Brand: BLANK
C165+NKIT,UEi C165+NKIT Combustion Analyzer Kit with NOx Sensor and Printer,UEI,Brand: UEI
MSL5825,"5/8"" x 3/8"" 25ft Mini-split",Ptubes Linesets,Brand: Ptubes Linesets
MPA52700050001,">B< Maxipro 5/8"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
CE6106,6x10x6 Center End Boot,Gray Metal Products,Brand: Gray Metal Products
3WAY148,14 x 8 3 Way Stamped Face Register White,Airscape,Brand: Airscape
FRG1420,14 x 20 Floor Return Grille Brown,Airscape,Brand: Airscape
ASPLEN,A Width Gas Furnace Supply Plenum (13.25 X 19.63 X 36),,Brand: BLANK
UNIICM2812,Single-Stage Multi-Speed Gas Furnace UNIICM2812,Sauerman,Brand: Sauerman
SLH412,"4"" Line Hide Kit Off-White 12' Tall",Sauerman,Brand: Sauerman
188WIRE,18-8 Low Voltage Wire 250' Roll,,Brand: BLANK
R818,"18"" R-8 Flex",Quality Flex,Brand: Quality Flex
16SW90,"16"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
CAP75MF,7.5 MF / 440 VA 440V 7.5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
MPA52700020001,">B< Maxipro 1/4"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
C165+OILKIT,UEi C165+OILKIT Combustion Analyzer Kit for Oil-Fired Appliances with Printer,UEI,Brand: UEI
END310,"End Cap Only (3.25 X 10) 25"" x 10"" HVAC Duct",,Brand: BLANK
GAS12UN,½” Unions,,Brand: BLANK
FTXC09AXVJU,Daikin ENTRA Series 9K BTU Hi-Wall Fan Coil,Daikin,Brand: Daikin
12TRACRL,1/2” Trac Pipe 100' Roll,,Brand: BLANK
SAFT01,RectorSeal SS2 Condesation Overflow Switch for the Auxiliary Port of the Coil Primary Drain Pan,,Brand: BLANK
CAP125MF,12.5 MF / 440 VA 440V 12.5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
CT-200,HydroBalance Ever-Clean Condensate Pan Tabs 200 Count Jar,HydroBalance,Brand: HydroBalance
GASNIP122,1/2” x 2” fitting,,Brand: BLANK
10-406-ASD,"10"" Saddle Collar with Scoop and Damper",,Brand: BLANK
FRG148,14 x 8 Floor Return Grille Brown,Airscape,Brand: Airscape
COUP34,"3/4 "" Copper Coupling",American Air Components,Brand: American Air Components
1290LTFIT,"1/2"" 90 Degree Liquid Tite fitting",,Brand: BLANK
DT302,Dual Input Logging Thermometer,UEI,Brand: UEI
PF1820,18x20x1” Pleated Filter,GlassFloss,Brand: GlassFloss
ZC-01,HydroBalance Zip Foam Condenser Cleaner Aerosol 18oz NetWt,HydroBalance,Brand: HydroBalance
ROSSLV10,"Rossi 10"" Sleeve - Manual Damper",Rossi,Brand: Rossi
RECT122448,"Trunk Line Without End Caps (12 X 24 X 48) 12"" x 24"" x 48"" HVAC Duct",,Brand: BLANK
RSWG148,14 x 8 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,Brand: Airscape
184WIRE300,18-4 Thermostat Wire 300' Roll,,Brand: BLANK
4EAVE,"4"" WHITE PLASTIC EAVE Cap with 3"" Long Metal Collar on back",Builders Best,Brand: Builders Best
182WIRE,18-2 Low Voltage Wire 500' Roll,,Brand: BLANK
ROSSI10,"Rossi 10"" Complete Manual Damper",Rossi,Brand: Rossi
08-30-300UB,"8” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
JWW81,"5/16"" Flat Washer",,Brand: BLANK
H-NT08,Neutronic Odor Neutralizer Gel 0.5 Pound Gel Tub,,Brand: BLANK
70033,HEAVY DUTY TUBE CUTTER,Mastercool,Brand: Mastercool
SPFOAM,Spray Foam,,Brand: BLANK
10-30-300,"10” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
FTXV09AVJU9,Daikin Hi-Wall Style Series 9K BTU Hi-Wall Fan Coil Multi Zone R-32,Daikin,Brand: Daikin
PVCCEM1,"1"" PVC Cement",,Brand: BLANK
AACL06,"Aprilaire 6"" Round Damper 2 Wire Normally Closed Ventilation Damper...",Aprilaire,Brand: Aprilaire
EZPRO-24-HP-23016D-O,EasyPro 5th Generation 24k BTU 230V System,MRCOOL,Brand: MRCOOL
RED87,8-7 Singlewall Reducer,Gray Metal Products,Brand: Gray Metal Products
BBPW,Blue Plastic Boot Wrap Rolls,,Brand: BLANK
RB142014,"14""x20""x14"" Return HVAC Boot",Gray Metal Products,Brand: Gray Metal Products
SPY19024,Spyder Mach-Blue 1/4-in 10-Step Drill Bit (1/4-in to 1-3/8-in),Spyder,Brand: Spyder
CS-250,HydroBalance Sta-Clean Pan Strips 1 Strip 3-5 Ton,HydroBalance,Brand: HydroBalance
H-SA12,Hydrobalance Spray Adhesive 12oz NetWt Can,HydroBalance,Brand: HydroBalance
ROSSLV12,"Rossi 12"" Sleeve - Manual Damper",Rossi,Brand: Rossi
CE4148,4x14x8 Center End Boot,Gray Metal Products,Brand: Gray Metal Products
CAP4075MF,40/7.5 MF / 440 VA 440V 40+7.5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
SB4148,4x14x8 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
BFLR144,14 x 4 Floor Register Brown,Airscape,Brand: Airscape
UEIGNGV,Universal Electronic Ignition Gas Valve,,Brand: BLANK
10COL,Sheet Metal 10COL,Southwark,Brand: Southwark
H-BM01,HydroBalance Black Max Concentrate Condenser Coil Cleaner & Brightener 1 Gallon Bottle,HydroBalance,Brand: HydroBalance
APLENFR,"Furnace Return Air Plenum - A Width (14.5"")",,Brand: BLANK
6ROOF,6 in. Roof Cap Adapter Sleeve,,Brand: BLANK
2PVCC,2” PVC Couplings,American Air Components,Brand: American Air Components
34PVC45,"34"" ¾” PVC 45",American Air Components,Brand: American Air Components
R614,"14"" R-6 Flex",Quality Flex,Brand: Quality Flex
510KIT,Condensing Unit Install Kit,UEI,Brand: UEI
GAS34COUP,¾” Couplings,,Brand: BLANK
SPY600913,Spyder Tarantula 3-in Carbide-tipped Non-arbored Hole Saw,Spyder,Brand: Spyder
C161C,Residential Combustion Analyzer w/ AC509 Carrying Case,UEI,Brand: UEI
WTOE210,2 x 10 Toe Kick Grille White,Airscape,Brand: Airscape
"RXC24AXVJU, FTXC24AXVJU",Daikin ENTRA 18 SEER2 24K BTU Heat Pump and 24K BTU Hi-Wall Fan Coil,Daikin,Brand: Daikin
PAN3232,32x32 Drain pan with no hole (Upflow Application),,Brand: BLANK
SPY19020,Spyder Mach-Blue 1/4-in 6-Step Drill Bit (3/16-in to 1/2-in),Spyder,Brand: Spyder
MPA52700060001,">B< Maxipro 3/4"" Straight Coupler",Conex Bänninger,Brand: Conex Bänninger
34INSUV,"3/4"" Insulation UV Rated",,Brand: BLANK
SB6148,6x14x8 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
115VCMBO,115V Switch Receptacle Combo,,Brand: BLANK
3CONVENT,"3"" CONCENTRIC VENT KIT",,Brand: BLANK
346WHP,"3/4"" 8AWG 6' non-metallic whip up to 60A 240V",American Air Components,Brand: American Air Components
CAP305MF,30/5 MF / 440 VA 440V 30+5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
H-NT03,Neutronic Odor Neutralizer Gel 3 Pound Gel Tub,,Brand: BLANK
FMBLK1,"Foam Support Blocks (8 X 8 X 4) 8"" x 8"" x 4""",,Brand: BLANK
RSWG2020,20 x 20 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,Brand: Airscape
FSR-10x6-BRN,"10x6 Brown Floor Supply Register 10"" x 6""",,Brand: BLANK
SB4106,4x10x6 Straight Boot,Gray Metal Products,Brand: Gray Metal Products
R804,"4"" R-8 Flex",Quality Flex,Brand: Quality Flex
12SHTOF,"1/2"" Shut off Valve",,Brand: BLANK
GM3469,TuttoKool Universal Condensing Fan Motor 1/3 to 1/6 208 - 230V 825 ...,,Brand: BLANK
GASNIP348,3/4” x 8” fitting,,Brand: BLANK
20A2PBR,20A 2 Pole 230V Breaker,,Brand: BLANK
GAS12CAP,"1/2"" Cap",,Brand: BLANK
JTEKD2,"1/4"" Drilling Screws zip screws 100 Count",,Brand: BLANK
CAP355MF,35/5 MF / 440 VA 440V 35+5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
2MXM18AVJU9,Daikin MXM 18K BTU 2-Zone Heat Pump R-32,Daikin,Brand: Daikin
38BARB,3/8” Barb Couplings,American Air Components,Brand: American Air Components
LCAPSING,Refrigerant Locking Cap (Single),,Brand: BLANK
CAP555MF,55/5 MF / 440 VA 440V 55+5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
DL489COMBO,True RMS Clamp Meter w/ 2 ATTPC3 Pipe Clamps,UEI,Brand: UEI
IR-WIFI-1NA,Westinghouse Wi-Fi Controller,,Brand: BLANK
GASNIP16,1” x 6” fitting,,Brand: BLANK
SPY19019,Spyder Mach-Blue 1/4-in 13-Step Drill Bit (1/8-in to 1/2-in),Spyder,Brand: Spyder
1036ADJ,10 X 3.25 x 6 Adjustable Boot,Gray Metal Products,Brand: Gray Metal Products
MPA5285G0020201,">B< Maxipro 1/4""x1/4"" Flare Adaptor",Conex Bänninger,Brand: Conex Bänninger
C161KIT,Residential Combustion Analyzer Kit w/ Printer/Case,UEI,Brand: UEI
EZPRO-09-HP-11516D-O,EasyPro 5th Generation 9k BTU 115V System,MRCOOL,Brand: MRCOOL
12-30-300,"12” X 24"" Snaplock Singlewall Pipe",Gray Metal Products,Brand: Gray Metal Products
400066,R-US REMS pressing rings S set BMP 1/4-7/8'' Mini A4 Z8 +ZB L-Boxx:,REMS,Brand: REMS
ROSSI8,"Rossi 8"" Complete Manual Damper",Rossi,Brand: Rossi
DMG150,Digital Micron Gauge W Proffesional accuracy Rang,UEI,Brand: UEI
FRG146,14 x 6 Floor Return Grille Brown,Airscape,Brand: Airscape
QK10M,Zip Screws 1000 Count,,Brand: BLANK
PF2425,"24x25x1” Pleated Filter 24"" x 25"" x 1""",GlassFloss,Brand: GlassFloss
12LTFIT,½” Straight Liquid Tight Fittings,,Brand: BLANK
9-BI-6TPI-1,"9"" Bi-Metal 6TPI Sawzall Blade",Spyder,Brand: Spyder
ANCHRK01,Anchor Kit,,Brand: BLANK
GAS12COUP,½” Couplings,,Brand: BLANK
4SW90,"4"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
T-200x,Amrad Turbo 200x,,Brand: BLANK
RB141410,"14""x14""x10"" Return HVAC Boot",Gray Metal Products,Brand: Gray Metal Products
SPY11001,Spyder Stinger 14-Piece x 6-in Woodboring SPlastic Pade Drill Bit Set,Spyder,Brand: Spyder
1438ADJ,14 x 3.25 x 8 Adjustable Boot,Gray Metal Products,Brand: Gray Metal Products
906148,6x14x8 90 Degree Boot,Gray Metal Products,Brand: Gray Metal Products
16COL,"16"" Starting Collar Take Off - Snap Lock",Southwark,Brand: Southwark
SWCAP6,"6"" Silver Metal Sidewall Cap With 5"" Long Collar, Screen and Damper",Builders Best,Brand: Builders Best
R606,"6"" R-6 Flex",Quality Flex,Brand: Quality Flex
6COL,"6"" Starting Collar Take Off - Snap Lock",Southwark,Brand: Southwark
14-310,"14"" Round End Caps No Crimp",,Brand: BLANK
3490LTFIT,"3/4"" 90 Degree Liquid Tite Fitting",,Brand: BLANK
R610,"10"" R-6 Flex",Quality Flex,Brand: Quality Flex
522KIT,Oil Burner & Boiler Install Kit,UEI,Brand: UEI
62WIRE50,6-2 High Voltage Wire 50' Roll,,Brand: BLANK
BLWRN01,Small Blue Wire Nuts (100 ct. Pack),,Brand: BLANK
FG1420,"14 x 20 Stamp Faced Sidewall/Ceiling Return 1"" Filter Grille White",Airscape,Brand: Airscape
AA313,Aprilaire 313 MERV 13 Replacement Filter for 1310 Cabinet,Aprilaire,Brand: Aprilaire
SPY200303,Spyder 5 Piece Black Series Bi Metal Reciprocating Saw Blades 6 in.,Spyder,Brand: Spyder
EM720,Hi-Res Differential Manometer,UEI,Brand: UEI
MPA5002L0060001,">B< Maxipro ACR Long Elbow 3/4""x90D",Conex Bänninger,Brand: Conex Bänninger
06-406-ASD,"06"" Saddle Collar with Scoop and Damper",,Brand: BLANK
ROSSLV8,"Rossi 8"" Sleeve - Manual Damper",Rossi,Brand: Rossi
4SADDLE,"4"" Saddle Collar",Southwark,Brand: Southwark
230UNICFM1025,1/6-1/3 Multi-Horsepower Universal Condenser Fan Motor 1025 RPM,,Brand: BLANK
FLATW-PAINT,Flat White Rust-oleum Spray Paint,,Brand: BLANK
1210WHP,"1/2"" 10AWG 6' non-metalic whip up to 30A 240V",American Air Components,Brand: American Air Components
QFLSH6,"Quick Flash 6"" Blue Plate P-600",Quickflash,Brand: Quickflash
H-WP75,HydroBalance Scrubbin' Wipes 75-Count Dispenser,HydroBalance,Brand: HydroBalance
SWCVR01,Switch Cover,,Brand: BLANK
ROSSLV14,"Rossi 14"" Sleeve - Manual Damper",Rossi,Brand: Rossi
UNIDEFBD,Universal Heat Pump Defrost Control Board Model # 47D01U-843,,Brand: BLANK
AA8053,Aprilaire 8053 Surface-Mount Sensor,Airscape,Brand: Airscape
AA83W,"Aprilaire 8"" Round Damper 2 Wire Normally Open Zone Damper Model # ...",Aprilaire,Brand: Aprilaire
DIY-09-HP-WM-115D25-O,MRCOOL 9k DIY 5th Generation Mini-split Air Handler & Condenser 115v,MRCOOL,Brand: MRCOOL
CAP4575MF,45/7.5 MF / 440 VA 440V 45+7.5 MFD HVAC Capacitor,Hartland Controls,Brand: Hartland Controls
9V,9V Batteries,,Brand: BLANK
8COL,"8"" Starting Collar Take Off - Snap Lock",Southwark,Brand: Southwark
AAPLEN1310,1310 April Aire Return Support Plenum Box (20.5 X 20.5 X 22.5),Aprilaire,Brand: Aprilaire
C30H142P449,ADP 2.5 Ton R-410A Horizontal Cased Evaporator Coil - C30H142P449,,Brand: BLANK
RSWG306,30 x 6 Stamp Faced Sidewall/Ceiling Return Grille White,Airscape,Brand: Airscape
SPY19023,Spyder Mach-Blue 1/4-in 16 Step Drill Bit,Spyder,Brand: Spyder
CAP10MF,Capacitor CAP10MF 10 MFD,Hartland Controls,Brand: Hartland Controls
3SW90,"3"" Singlewall Adjustable 90 Degree Elbow",Gray Metal Products,Brand: Gray Metal Products
ROSSI4,"Rossi 4"" Complete Manual Damper",Rossi,Brand: Rossi
QFLSH1,"Quick Flash 1"" Blue Plate (3/4 PVC & 1"" Black Pipe)",Quickflash,Brand: Quickflash
C161OILKIT,Residential Combustion Analyzer Kit for Gas & Oil Fired Appliances,UEI,Brand: UEI
FF1620/2020,"16 x 20 x 4 & 20 x 20 x 4 Universal MERV 11 Filter Replacement 16"" ...",,Brand: BLANK
