Keyword,Match Type,Campaign
amana,BROAD,[PMax Campaign Name]
amvt48cp1300,BROAD,[PMax Campaign Name]
bcd,BROAD,[PMax Campaign Name]
buy comfort,BROAD,[PMax Campaign Name]
buy comfort direct,BROAD,[PMax Campaign Name]
buy-comfort,BROAD,[PMax Campaign Name]
buy-comfort-direct,BROAD,[PMax Campaign Name]
buycomfort,BROAD,[PMax Campaign Name]
buycomfortdirect,BROAD,[PMax Campaign Name]
comfort direct,BROAD,[PMax Campaign Name]
comfort-direct,BROAD,[PMax Campaign Name]
comfortdirect,BROAD,[PMax Campaign Name]
daikin,BROAD,[PMax Campaign Name]
glxs5ba2410,BROAD,[PMax Campaign Name]
goodman,BROAD,[PMax Campaign Name]
goodman 14 seer,BROAD,[PMax Campaign Name]
goodman 15 seer,BROAD,[PMax Campaign Name]
goodman 16 seer,BROAD,[PMax Campaign Name]
goodman ac,BROAD,[PMax Campaign Name]
goodman air conditioner,BROAD,[PMax Campaign Name]
goodman air handler,BROAD,[PMax Campaign Name]
goodman furnace,BROAD,[PMax Campaign Name]
goodman glxs,BROAD,[PMax Campaign Name]
goodman gr9s,BROAD,[PMax Campaign Name]
goodman gsx,BROAD,[PMax Campaign Name]
goodman gsxh,BROAD,[PMax Campaign Name]
goodman heat pump,BROAD,[PMax Campaign Name]
goodman hvac,BROAD,[PMax Campaign Name]
goodman mini split,BROAD,[PMax Campaign Name]
goodman package unit,BROAD,[PMax Campaign Name]
goodman-14-seer,BROAD,[PMax Campaign Name]
goodman-15-seer,BROAD,[PMax Campaign Name]
goodman-16-seer,BROAD,[PMax Campaign Name]
goodman-ac,BROAD,[PMax Campaign Name]
goodman-air-conditioner,BROAD,[PMax Campaign Name]
goodman-air-handler,BROAD,[PMax Campaign Name]
goodman-furnace,BROAD,[PMax Campaign Name]
goodman-glxs,BROAD,[PMax Campaign Name]
goodman-gr9s,BROAD,[PMax Campaign Name]
goodman-gsx,BROAD,[PMax Campaign Name]
goodman-gsxh,BROAD,[PMax Campaign Name]
goodman-heat-pump,BROAD,[PMax Campaign Name]
goodman-hvac,BROAD,[PMax Campaign Name]
goodman-mini-split,BROAD,[PMax Campaign Name]
goodman-package-unit,BROAD,[PMax Campaign Name]
goodman14seer,BROAD,[PMax Campaign Name]
goodman15seer,BROAD,[PMax Campaign Name]
goodman16seer,BROAD,[PMax Campaign Name]
goodmanac,BROAD,[PMax Campaign Name]
goodmanairconditioner,BROAD,[PMax Campaign Name]
goodmanairhandler,BROAD,[PMax Campaign Name]
goodmanfurnace,BROAD,[PMax Campaign Name]
goodmanglxs,BROAD,[PMax Campaign Name]
goodmangr9s,BROAD,[PMax Campaign Name]
goodmangsx,BROAD,[PMax Campaign Name]
goodmangsxh,BROAD,[PMax Campaign Name]
goodmanheatpump,BROAD,[PMax Campaign Name]
goodmanhvac,BROAD,[PMax Campaign Name]
goodmanminisplit,BROAD,[PMax Campaign Name]
goodmanpackageunit,BROAD,[PMax Campaign Name]
gr9s920403an,BROAD,[PMax Campaign Name]
gr9s960804cn,BROAD,[PMax Campaign Name]
gsxh501810,BROAD,[PMax Campaign Name]
gzv6sa2410,BROAD,[PMax Campaign Name]
r801t0754a21,BROAD,[PMax Campaign Name]
r801t1005a21,BROAD,[PMax Campaign Name]
r921t0703a17,BROAD,[PMax Campaign Name]
ra1424aj1na,BROAD,[PMax Campaign Name]
rheem,BROAD,[PMax Campaign Name]
rheem 14 seer,BROAD,[PMax Campaign Name]
rheem 15 seer,BROAD,[PMax Campaign Name]
rheem 16 seer,BROAD,[PMax Campaign Name]
rheem 17 seer,BROAD,[PMax Campaign Name]
rheem ac,BROAD,[PMax Campaign Name]
rheem air conditioner,BROAD,[PMax Campaign Name]
rheem air handler,BROAD,[PMax Campaign Name]
rheem classic,BROAD,[PMax Campaign Name]
rheem econet,BROAD,[PMax Campaign Name]
rheem furnace,BROAD,[PMax Campaign Name]
rheem heat pump,BROAD,[PMax Campaign Name]
rheem hvac,BROAD,[PMax Campaign Name]
rheem mini split,BROAD,[PMax Campaign Name]
rheem package unit,BROAD,[PMax Campaign Name]
rheem prestige,BROAD,[PMax Campaign Name]
rheem-14-seer,BROAD,[PMax Campaign Name]
rheem-15-seer,BROAD,[PMax Campaign Name]
rheem-16-seer,BROAD,[PMax Campaign Name]
rheem-17-seer,BROAD,[PMax Campaign Name]
rheem-ac,BROAD,[PMax Campaign Name]
rheem-air-conditioner,BROAD,[PMax Campaign Name]
rheem-air-handler,BROAD,[PMax Campaign Name]
rheem-classic,BROAD,[PMax Campaign Name]
rheem-econet,BROAD,[PMax Campaign Name]
rheem-furnace,BROAD,[PMax Campaign Name]
rheem-heat-pump,BROAD,[PMax Campaign Name]
rheem-hvac,BROAD,[PMax Campaign Name]
rheem-mini-split,BROAD,[PMax Campaign Name]
rheem-package-unit,BROAD,[PMax Campaign Name]
rheem-prestige,BROAD,[PMax Campaign Name]
rheem14seer,BROAD,[PMax Campaign Name]
rheem15seer,BROAD,[PMax Campaign Name]
rheem16seer,BROAD,[PMax Campaign Name]
rheem17seer,BROAD,[PMax Campaign Name]
rheemac,BROAD,[PMax Campaign Name]
rheemairconditioner,BROAD,[PMax Campaign Name]
rheemairhandler,BROAD,[PMax Campaign Name]
rheemclassic,BROAD,[PMax Campaign Name]
rheemeconet,BROAD,[PMax Campaign Name]
rheemfurnace,BROAD,[PMax Campaign Name]
rheemheatpump,BROAD,[PMax Campaign Name]
rheemhvac,BROAD,[PMax Campaign Name]
rheemminisplit,BROAD,[PMax Campaign Name]
rheempackageunit,BROAD,[PMax Campaign Name]
rheemprestige,BROAD,[PMax Campaign Name]
ruud,BROAD,[PMax Campaign Name]
solace,BROAD,[PMax Campaign Name]
solace ac,BROAD,[PMax Campaign Name]
solace air conditioner,BROAD,[PMax Campaign Name]
solace air handler,BROAD,[PMax Campaign Name]
solace furnace,BROAD,[PMax Campaign Name]
solace heat pump,BROAD,[PMax Campaign Name]
solace hvac,BROAD,[PMax Campaign Name]
solace-ac,BROAD,[PMax Campaign Name]
solace-air-conditioner,BROAD,[PMax Campaign Name]
solace-air-handler,BROAD,[PMax Campaign Name]
solace-furnace,BROAD,[PMax Campaign Name]
solace-heat-pump,BROAD,[PMax Campaign Name]
solace-hvac,BROAD,[PMax Campaign Name]
solaceac,BROAD,[PMax Campaign Name]
solaceairconditioner,BROAD,[PMax Campaign Name]
solaceairhandler,BROAD,[PMax Campaign Name]
solacefurnace,BROAD,[PMax Campaign Name]
solaceheatpump,BROAD,[PMax Campaign Name]
solacehvac,BROAD,[PMax Campaign Name]
